VentaID;Factura;Fecha_Orden;Fecha_Entrega;Fecha_Envio;Estado;Cliente_Code;Tipo_Cliente;Nombres;Apellidos;Vendedor;Departamento;Metodo_Pago;Subtotal
49443;SO49443;2024-01-28;09/02/2024;10-02-24;5;29833 - 40109117;SC;Pam;Herrick;Tsvi Reiter;Cusco;Debito/Credito;67.539
50691;SO50691;2024-04-30;06/05/2024;06-05-24;5;29833 - 40109117;SC;Pam;Herrick;Tsvi Reiter;Cusco;Debito/Credito;183.9382
49444;SO49444;2024-01-28;09/02/2024;09-02-24;5;30106 - 80063228;SC;Michael;Vanderhyde;Michael Blythe;Piura;Debito/Credito;6509.2516
50736;SO50736;2024-04-30;09/05/2024;09-05-24;5;30106 - 80063228;SC;Michael;Vanderhyde;Michael Blythe;Piura;Debito/Credito;5835.6552
49445;SO49445;2024-01-28;09/02/2024;09-02-24;5;29781 - 90138817;SC;Guy;Gilbert;Linda Mitchell;Piura;Debito/Credito;2818.764
50658;SO50658;2024-04-30;13/05/2024;12-05-24;5;29781 - 90138817;SC;Guy;Gilbert;Linda Mitchell;Piura;Debito/Credito;6107.322
53598;SO53598;2024-07-31;12/08/2024;12-08-24;5;29781 - 90138817;SC;Guy;Gilbert;Linda Mitchell;Piura;Debito/Credito;3794.9789
59049;SO59049;2024-10-30;12/11/2024;12-11-24;5;29781 - 90138817;SC;Guy;Gilbert;Linda Mitchell;Piura;Debito/Credito;2227.386
65293;SO65293;2025-01-29;10/02/2025;10-02-25;5;29781 - 90138817;SC;Guy;Gilbert;Linda Mitchell;Piura;Debito/Credito;3128.7791
49446;SO49446;2024-01-28;09/02/2024;09-02-24;5;29592 - 10851240071;SC;Kevin;Browne;Jillian Carson;Arequipa;Debito/Credito;13624.026
50706;SO50706;2024-04-30;12/05/2024;12-05-24;5;29592 - 10851240071;SC;Kevin;Browne;Jillian Carson;Arequipa;Debito/Credito;9913.52
53534;SO53534;2024-07-31;13/08/2024;12-08-24;5;29592 - 10851240071;SC;Kevin;Browne;Jillian Carson;Arequipa;Debito/Credito;12423.5249
58976;SO58976;2024-10-30;06/11/2024;06-11-24;5;29592 - 10851240071;SC;Kevin;Browne;Jillian Carson;Arequipa;Debito/Credito;10376.3682
65152;SO65152;2025-01-29;11/02/2025;10-02-25;5;29592 - 10851240071;SC;Kevin;Browne;Jillian Carson;Arequipa;Debito/Credito;11710.422
49447;SO49447;2024-01-28;09/02/2024;09-02-24;5;29536 - 11209608;SC;Robert;Barker;Jillian Carson;La Libertad;Debito/Credito;107.988
50711;SO50711;2024-04-30;13/05/2024;12-05-24;5;29536 - 11209608;SC;Robert;Barker;Jillian Carson;La Libertad;Debito/Credito;482.6262
49448;SO49448;2024-01-28;04/02/2024;04-02-24;5;30003 - 49120086;SC;Yvonne;Mckay;Michael Blythe;La Libertad;Debito/Credito;1275.0469
50659;SO50659;2024-04-30;12/05/2024;12-05-24;5;30003 - 49120086;SC;Yvonne;Mckay;Michael Blythe;La Libertad;Debito/Credito;1297.8409
49449;SO49449;2024-01-28;06/02/2024;06-02-24;5;29622 - 8337348;SC;Henry;Campen;David Campbell;Lima;Debito/Credito;45.588
53457;SO53457;2024-07-31;09/08/2024;09-08-24;5;29622 - 8337348;SC;Henry;Campen;David Campbell;Lima;Debito/Credito;47000.9618
58910;SO58910;2024-10-30;11/11/2024;11-11-24;5;29622 - 8337348;SC;Henry;Campen;David Campbell;Lima;Debito/Credito;36336.306
65159;SO65159;2025-01-29;10/02/2025;10-02-25;5;29622 - 8337348;SC;Henry;Campen;David Campbell;Lima;Debito/Credito;13573.704
49450;SO49450;2024-01-28;10/02/2024;09-02-24;5;30113 - 50314436;SC;Raja;Venugopal;José Saraiva;Lambayeque;Debito/Credito;32730.2215
50662;SO50662;2024-04-30;06/05/2024;06-05-24;5;30113 - 50314436;SC;Raja;Venugopal;José Saraiva;Lambayeque;Debito/Credito;33974.7691
53455;SO53455;2024-07-31;12/08/2024;12-08-24;5;30113 - 50314436;SC;Raja;Venugopal;José Saraiva;Lambayeque;Debito/Credito;31612.0704
58905;SO58905;2024-10-30;11/11/2024;12-11-24;5;30113 - 50314436;SC;Raja;Venugopal;José Saraiva;Lambayeque;Debito/Credito;43152.291
65154;SO65154;2025-01-29;10/02/2025;10-02-25;5;30113 - 50314436;SC;Raja;Venugopal;José Saraiva;Lambayeque;Debito/Credito;26709.588
49451;SO49451;2024-01-28;09/02/2024;09-02-24;5;30037 - 60688002;SC;Jim;Stewart;Garrett Vargas;Ica;Debito/Credito;2595.6818
50708;SO50708;2024-04-30;12/05/2024;12-05-24;5;30037 - 60688002;SC;Jim;Stewart;Garrett Vargas;Ica;Debito/Credito;5311.5351
53542;SO53542;2024-07-31;08/08/2024;08-08-24;5;30037 - 60688002;SC;Jim;Stewart;Garrett Vargas;Ica;Debito/Credito;5942.0055
58978;SO58978;2024-10-30;12/11/2024;11-11-24;5;30037 - 60688002;SC;Jim;Stewart;Garrett Vargas;Ica;Debito/Credito;7449.3398
65162;SO65162;2025-01-29;10/02/2025;10-02-25;5;30037 - 60688002;SC;Jim;Stewart;Garrett Vargas;Ica;Debito/Credito;4634.91
49452;SO49452;2024-01-28;09/02/2024;09-02-24;5;29927 - 18229695;SC;Jeffrey;Kung;Amy Alberts;Áncash;Debito/Credito;1308.9375
50665;SO50665;2024-04-30;08/05/2024;08-05-24;5;29927 - 18229695;SC;Jeffrey;Kung;Ranjit Varkey Chudukatil;Áncash;Debito/Credito;214.6328
53461;SO53461;2024-07-31;08/08/2024;08-08-24;5;29927 - 18229695;SC;Jeffrey;Kung;Amy Alberts;Áncash;Debito/Credito;1466.01
